videoID;country;views
"uq5PQg_hZro";"GE";0
"uq5PQg_hZro";"HR";0
"uq5PQg_hZro";"JP";0
"uq5PQg_hZro";"KY";0
"uq5PQg_hZro";"LV";0
"uq5PQg_hZro";"MX";0
"uq5PQg_hZro";"NZ";0
"uq5PQg_hZro";"PE";0
"uq5PQg_hZro";"PH";0
"uq5PQg_hZro";"PL";0
"uq5PQg_hZro";"SA";0
"uq5PQg_hZro";"SE";0
"uq5PQg_hZro";"ZA";0
"t4kd-QY6Rh0";"LU";0
"t4kd-QY6Rh0";"SG";0
"fktQmk0a9OI";"AE";0
"A9yVhbgxgl8";"HK";0
"A9yVhbgxgl8";"MA";0
"qZtfSNReft4";"MY";0
"qZtfSNReft4";"RU";0
"9XsMt1TxNeM";"CA";0
"9XsMt1TxNeM";"CZ";0
"9XsMt1TxNeM";"DE";0
"9XsMt1TxNeM";"HU";0
"9XsMt1TxNeM";"NZ";0
"pEAwvMkpA8I";"KR";0
"pEAwvMkpA8I";"MY";0
"pEAwvMkpA8I";"NL";0
"pEAwvMkpA8I";"NZ";0
"pEAwvMkpA8I";"PA";0
"pEAwvMkpA8I";"PT";0
"pEAwvMkpA8I";"SE";0
"pEAwvMkpA8I";"SV";0
"pEAwvMkpA8I";"TH";0
"pEAwvMkpA8I";"TR";0
"pEAwvMkpA8I";"TW";0
"pEAwvMkpA8I";"ZA";0
"T1q3BF5_YJ8";"AR";0
"T1q3BF5_YJ8";"GT";0
"T1q3BF5_YJ8";"IT";0
"T1q3BF5_YJ8";"RU";0
"T1q3BF5_YJ8";"SG";0
"T1q3BF5_YJ8";"TH";0
"VRQq7XVWdR8";"DE";0
"Ka7Ds4EAjNQ";"BR";0
"Ka7Ds4EAjNQ";"CA";0
"Ka7Ds4EAjNQ";"FR";0
"KjUAEci6G20";"BR";0
"KjUAEci6G20";"SG";0
"x-1NiopFC9g";"FR";0
"syzA3PZx3qk";"IL";0
"syzA3PZx3qk";"ZA";0
"PAX5GP9SkTA";"UA";0
"fTUw94veqfE";"CO";0
"fTUw94veqfE";"EC";0
"fTUw94veqfE";"HR";0
"fTUw94veqfE";"HU";0
"fTUw94veqfE";"LK";0
"fTUw94veqfE";"MU";0
"fTUw94veqfE";"MX";0
"fTUw94veqfE";"MY";0
"fTUw94veqfE";"PH";0
"fTUw94veqfE";"SE";0
"fTUw94veqfE";"TH";0
"cr9UBeZ3AvQ";"IE";0
"cr9UBeZ3AvQ";"NZ";0
"cr9UBeZ3AvQ";"PH";0
"cr9UBeZ3AvQ";"UA";0
"Z40Txux1Lxk";"FI";0
"Z40Txux1Lxk";"LT";0
"Z40Txux1Lxk";"TH";0
"Z40Txux1Lxk";"TW";0
"Z40Txux1Lxk";"VN";0
"3QiTBXfxzHA";"AU";0
"3QiTBXfxzHA";"ZA";0
"EmALxO7V7y0";"BO";0
"EmALxO7V7y0";"CH";0
"EmALxO7V7y0";"IT";0
"EmALxO7V7y0";"SG";0
"YeI_n8myE68";"ES";0
"YeI_n8myE68";"RO";0
"-kOvK7IV3sg";"DE";0
"FO6e3rjSslQ";"CZ";0
"DMtlv-BlKP4";"FI";0
"duMSovyosXE";"AE";0
"duMSovyosXE";"AR";0
"duMSovyosXE";"AT";0
"duMSovyosXE";"BB";0
"duMSovyosXE";"BE";0
"duMSovyosXE";"CH";0
"duMSovyosXE";"CL";0
"duMSovyosXE";"CO";0
"duMSovyosXE";"CY";0
"duMSovyosXE";"CZ";0
"duMSovyosXE";"DK";0
"duMSovyosXE";"EC";0
"duMSovyosXE";"FI";0
"duMSovyosXE";"GR";0
"duMSovyosXE";"GT";0
"duMSovyosXE";"HK";0
"duMSovyosXE";"HU";0
"duMSovyosXE";"ID";0
"duMSovyosXE";"IL";0
"duMSovyosXE";"IT";0
"duMSovyosXE";"JP";0
"duMSovyosXE";"LA";0
"duMSovyosXE";"LV";0
"duMSovyosXE";"MX";0
"duMSovyosXE";"MY";0
"duMSovyosXE";"NG";0
"duMSovyosXE";"NI";0
"duMSovyosXE";"NP";0
"duMSovyosXE";"NZ";0
"duMSovyosXE";"PA";0
"duMSovyosXE";"PE";0
"duMSovyosXE";"PK";0
"duMSovyosXE";"PL";0
"duMSovyosXE";"PT";0
"duMSovyosXE";"QA";0
"duMSovyosXE";"SA";0
"duMSovyosXE";"SE";0
"duMSovyosXE";"SG";0
"duMSovyosXE";"SV";0
"duMSovyosXE";"TH";0
"duMSovyosXE";"TZ";0
"duMSovyosXE";"VN";0
"duMSovyosXE";"ZA";0
"CoTLQiMZFbI";"PL";0
"CoTLQiMZFbI";"PT";0
"CoTLQiMZFbI";"RU";0
"H3-evk6-qpQ";"BE";0
"vbg4Je1tuis";"AM";0
"vbg4Je1tuis";"CL";0
"vbg4Je1tuis";"CO";0
"vbg4Je1tuis";"FI";0
"vbg4Je1tuis";"KR";0
"vbg4Je1tuis";"MY";0
"vbg4Je1tuis";"NG";0
"vbg4Je1tuis";"NZ";0
"vbg4Je1tuis";"VN";0
"vbg4Je1tuis";"ZA";0
"8e8a3o1w51M";"AR";0
"8e8a3o1w51M";"CO";0
"8e8a3o1w51M";"NZ";0
